detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
FAST,BRIEF,9,13.024118,13.029729,0.00561
AKAZE,BRISK,8,13.124118,13.11725,0.006868
AKAZE,BRISK,2,12.614245,12.62663,0.012385
FAST,ORB,1,12.5156,12.501444,0.014156
BRISK,FREAK,17,9.546581,9.561059,0.014478
SIFT,BRISK,16,9.51617,9.500436,0.015734
ORB,SIFT,10,11.174641,11.138868,0.035773
AKAZE,BRISK,16,9.51617,9.55573,0.039561
ORB,ORB,3,14.091013,14.131278,0.040265
AKAZE,BRIEF,18,8.398803,8.356427,0.042376
FAST,BRISK,2,12.614245,12.656935,0.04269
SIFT,BRISK,10,11.174641,11.219103,0.044462
AKAZE,BRIEF,6,12.678716,12.633321,0.045395
BRISK,BRISK,10,11.174641,11.221304,0.046663
AKAZE,BRISK,11,12.808601,12.741964,0.066637
FAST,FREAK,16,9.51617,9.445306,0.070864
FAST,SIFT,6,12.678716,12.580726,0.09799
AKAZE,BRISK,18,8.398803,8.499307,0.100504
AKAZE,ORB,11,12.808601,12.705615,0.102986
FAST,SIFT,8,13.124118,13.230204,0.106086
AKAZE,ORB,8,13.124118,13.232141,0.108023
AKAZE,SIFT,2,12.614245,12.739366,0.125121
ORB,BRIEF,16,9.51617,9.641411,0.125241
AKAZE,ORB,17,9.546581,9.673491,0.12691
AKAZE,ORB,10,11.174641,11.045435,0.129206
BRISK,SIFT,3,14.091013,13.96049,0.130522
FAST,FREAK,2,12.614245,12.747208,0.132963
AKAZE,SIFT,18,8.398803,8.540101,0.141298
ORB,BRISK,2,12.614245,12.465481,0.148765
AKAZE,FREAK,17,9.546581,9.397548,0.149033
AKAZE,SIFT,11,12.808601,12.658708,0.149893
AKAZE,BRISK,1,12.5156,12.348347,0.167253
BRISK,FREAK,7,11.984351,11.793484,0.190867
SHITOMASI,FREAK,2,12.614245,12.419468,0.194778
AKAZE,ORB,6,12.678716,12.877825,0.199109
HARRIS,BRIEF,7,11.984351,12.2,0.215649
HARRIS,BRISK,7,11.984351,12.2,0.215649
HARRIS,SIFT,7,11.984351,12.2,0.215649
FAST,BRISK,10,11.174641,11.390589,0.215947
FAST,ORB,6,12.678716,12.460634,0.218082
SHITOMASI,SIFT,2,12.614245,12.836389,0.222144
FAST,BRIEF,7,11.984351,12.207347,0.222996
SIFT,SIFT,13,9.96439,9.723936,0.240454
AKAZE,FREAK,10,11.174641,11.415759,0.241117
AKAZE,BRIEF,1,12.5156,12.274401,0.241199
SHITOMASI,BRIEF,6,12.678716,12.435922,0.242794
FAST,SIFT,1,12.5156,12.269044,0.246556
AKAZE,SIFT,10,11.174641,11.421729,0.247088
SHITOMASI,BRISK,2,12.614245,12.365504,0.248741
FAST,BRIEF,16,9.51617,9.767007,0.250837
AKAZE,BRIEF,10,11.174641,11.426142,0.2515
FAST,ORB,9,13.024118,12.77031,0.253808
AKAZE,BRISK,14,9.59863,9.343097,0.255533
AKAZE,BRISK,6,12.678716,12.9361,0.257384
SIFT,SIFT,18,8.398803,8.674369,0.275566
BRISK,ORB,17,9.546581,9.270459,0.276122
SIFT,FREAK,13,9.96439,9.683644,0.280746
SHITOMASI,ORB,1,12.5156,12.230623,0.284977
ORB,ORB,5,15.908233,16.197434,0.289201
AKAZE,BRIEF,11,12.808601,12.518151,0.29045
AKAZE,FREAK,8,13.124118,12.83252,0.291598
ORB,BRISK,10,11.174641,10.882205,0.292436
BRISK,BRISK,11,12.808601,12.513677,0.294924
ORB,FREAK,10,11.174641,10.87754,0.297101
ORB,ORB,10,11.174641,11.475885,0.301243
SIFT,BRIEF,3,14.091013,13.786248,0.304765
AKAZE,AKAZE,17,9.546581,9.852926,0.306345
SHITOMASI,SIFT,6,12.678716,12.985849,0.307134
AKAZE,SIFT,1,12.5156,12.20524,0.31036
FAST,BRIEF,1,12.5156,12.200935,0.314665
HARRIS,SIFT,6,12.678716,12.994489,0.315773
FAST,BRIEF,8,13.124118,12.807004,0.317114
BRISK,ORB,9,13.024118,13.352744,0.328626
SIFT,SIFT,10,11.174641,10.838342,0.3363
AKAZE,ORB,2,12.614245,12.272641,0.341605
SIFT,BRISK,13,9.96439,9.610295,0.354095
AKAZE,BRIEF,8,13.124118,13.484983,0.360865
SIFT,BRIEF,15,8.573525,8.936584,0.363059
FAST,ORB,17,9.546581,9.910262,0.363681
AKAZE,ORB,16,9.51617,9.886163,0.369993
SIFT,BRIEF,9,13.024118,12.653441,0.370677
AKAZE,SIFT,9,13.024118,12.644563,0.379555
FAST,FREAK,3,14.091013,13.709542,0.38147
AKAZE,SIFT,17,9.546581,9.930997,0.384416
SHITOMASI,FREAK,11,12.808601,12.408267,0.400334
ORB,BRIEF,14,9.59863,9.999249,0.400619
SHITOMASI,BRISK,6,12.678716,13.081741,0.403025
SIFT,BRISK,11,12.808601,12.404115,0.404486
AKAZE,BRIEF,17,9.546581,9.131362,0.415219
BRISK,FREAK,10,11.174641,11.592802,0.418161
AKAZE,BRISK,13,9.96439,10.400324,0.435934
SHITOMASI,BRISK,1,12.5156,12.958971,0.443371
SHITOMASI,SIFT,1,12.5156,12.958971,0.443371
HARRIS,BRIEF,8,13.124118,13.570416,0.446298
HARRIS,ORB,8,13.124118,13.570416,0.446298
BRISK,BRISK,3,14.091013,13.634719,0.456294
ORB,FREAK,1,12.5156,12.056893,0.458707
AKAZE,FREAK,2,12.614245,12.155402,0.458843
FAST,BRISK,9,13.024118,13.489964,0.465846
SIFT,BRIEF,10,11.174641,10.708211,0.466431
ORB,FREAK,15,8.573525,8.101241,0.472283
SIFT,BRISK,3,14.091013,14.566629,0.475616
SIFT,BRISK,14,9.59863,9.096926,0.501704
SHITOMASI,BRISK,10,11.174641,11.682975,0.508333
FAST,ORB,2,12.614245,13.123169,0.508924
ORB,FREAK,14,9.59863,10.108208,0.509578
BRISK,ORB,10,11.174641,10.655255,0.519386
FAST,SIFT,2,12.614245,12.092966,0.521279
SIFT,FREAK,3,14.091013,13.561319,0.529693
SHITOMASI,BRIEF,18,8.398803,8.93181,0.533007
AKAZE,FREAK,18,8.398803,8.936036,0.537232
FAST,ORB,11,12.808601,12.269044,0.539557
ORB,SIFT,4,16.689386,16.14916,0.540225
SIFT,FREAK,10,11.174641,11.716111,0.54147
AKAZE,BRIEF,2,12.614245,13.156773,0.542528
BRISK,BRISK,17,9.546581,10.104604,0.558023
FAST,FREAK,8,13.124118,12.564683,0.559435
FAST,FREAK,1,12.5156,13.075512,0.559912
SIFT,FREAK,6,12.678716,12.100258,0.578458
SIFT,SIFT,9,13.024118,12.434987,0.589131
AKAZE,AKAZE,10,11.174641,11.772592,0.59795
FAST,SIFT,11,12.808601,12.205779,0.602822
AKAZE,AKAZE,16,9.51617,10.126982,0.610813
SIFT,FREAK,4,16.689386,17.307667,0.618281
AKAZE,ORB,14,9.59863,10.223359,0.624729
SHITOMASI,BRIEF,11,12.808601,12.179437,0.629164
AKAZE,AKAZE,3,14.091013,13.455111,0.635902
FAST,FREAK,9,13.024118,13.668405,0.644287
ORB,FREAK,12,8.95978,8.31342,0.64636
AKAZE,BRIEF,16,9.51617,10.162922,0.646752
BRISK,BRISK,1,12.5156,13.169478,0.653878
FAST,FREAK,11,12.808601,12.150221,0.658381
SIFT,BRIEF,6,12.678716,12.009232,0.669484
BRISK,ORB,11,12.808601,13.493846,0.685245
SIFT,BRIEF,17,9.546581,8.860075,0.686507
SIFT,FREAK,16,9.51617,8.825038,0.691132
FAST,BRISK,1,12.5156,13.206793,0.691193
FAST,BRIEF,2,12.614245,13.308681,0.694436
SHITOMASI,BRIEF,10,11.174641,11.8697,0.695058
SIFT,FREAK,17,9.546581,8.847805,0.698776
SIFT,BRISK,5,15.908233,15.19244,0.715792
AKAZE,BRISK,10,11.174641,11.896441,0.721799
FAST,FREAK,7,11.984351,12.72129,0.736939
SIFT,SIFT,16,9.51617,10.261139,0.744969
HARRIS,BRISK,8,13.124118,12.372546,0.751573
FAST,FREAK,6,12.678716,11.925949,0.752767
SIFT,BRISK,6,12.678716,11.918022,0.760694
AKAZE,BRISK,9,13.024118,13.788093,0.763975
AKAZE,AKAZE,11,12.808601,13.580621,0.77202
AKAZE,SIFT,16,9.51617,10.291902,0.775732
SIFT,BRIEF,16,9.51617,8.73299,0.78318
SIFT,FREAK,8,13.124118,13.914315,0.790197
AKAZE,AKAZE,5,15.908233,15.114662,0.793571
AKAZE,BRIEF,15,8.573525,9.370065,0.79654
SIFT,FREAK,11,12.808601,13.609979,0.801378
FAST,BRISK,11,12.808601,12.000313,0.808288
BRISK,FREAK,8,13.124118,13.936591,0.812473
FAST,BRISK,17,9.546581,10.364495,0.817914
FAST,BRISK,6,12.678716,11.860286,0.81843
SHITOMASI,BRISK,11,12.808601,11.98643,0.822171
SHITOMASI,SIFT,7,11.984351,12.816525,0.832174
SIFT,BRISK,18,8.398803,9.24646,0.847656
AKAZE,FREAK,11,12.808601,11.93754,0.871062
FAST,BRIEF,17,9.546581,10.41886,0.872279
SHITOMASI,BRISK,9,13.024118,12.150894,0.873224
FAST,BRISK,7,11.984351,12.86036,0.876009
BRISK,BRIEF,17,9.546581,10.422987,0.876406
HARRIS,BRIEF,10,11.174641,10.293108,0.881533
BRISK,ORB,1,12.5156,11.633565,0.882035
AKAZE,BRISK,3,14.091013,13.207889,0.883123
SHITOMASI,BRIEF,17,9.546581,10.432082,0.885501
BRISK,FREAK,1,12.5156,11.625079,0.890521
BRISK,BRISK,9,13.024118,12.127514,0.896604
FAST,ORB,7,11.984351,12.883834,0.899484
BRISK,BRISK,13,9.96439,10.864689,0.900299
AKAZE,SIFT,8,13.124118,14.025526,0.901408
AKAZE,BRIEF,14,9.59863,10.503519,0.904889
FAST,SIFT,3,14.091013,13.176293,0.914719
SIFT,SIFT,17,9.546581,8.62812,0.918462
AKAZE,AKAZE,18,8.398803,9.330078,0.931275
BRISK,SIFT,13,9.96439,10.897126,0.932735
ORB,FREAK,16,9.51617,10.455842,0.939673
FAST,SIFT,17,9.546581,10.508531,0.96195
FAST,BRIEF,11,12.808601,11.843832,0.964769
AKAZE,SIFT,3,14.091013,13.12542,0.965592
SIFT,BRISK,15,8.573525,9.539602,0.966077
SIFT,BRIEF,13,9.96439,8.994095,0.970295
FAST,SIFT,9,13.024118,14.000712,0.976594
AKAZE,AKAZE,2,12.614245,13.59363,0.979385
AKAZE,AKAZE,13,9.96439,10.953169,0.988779
SIFT,SIFT,2,12.614245,13.605737,0.991492
FAST,BRISK,3,14.091013,13.098541,0.992472
AKAZE,BRISK,15,8.573525,9.57937,1.005845
BRISK,SIFT,10,11.174641,12.193875,1.019233
AKAZE,SIFT,13,9.96439,10.983651,1.019261
SHITOMASI,ORB,6,12.678716,13.700519,1.021803
SHITOMASI,BRISK,16,9.51617,10.542598,1.026429
AKAZE,BRISK,17,9.546581,8.514568,1.032014
AKAZE,AKAZE,1,12.5156,11.472353,1.043247
BRISK,FREAK,5,15.908233,16.96757,1.059338
AKAZE,FREAK,16,9.51617,10.578166,1.061997
BRISK,FREAK,16,9.51617,10.57878,1.06261
SHITOMASI,FREAK,8,13.124118,12.054238,1.06988
SIFT,FREAK,2,12.614245,13.686548,1.072303
AKAZE,ORB,3,14.091013,13.011402,1.07961
SHITOMASI,FREAK,18,8.398803,7.31737,1.081433
AKAZE,FREAK,15,8.573525,9.663086,1.089561
SHITOMASI,FREAK,1,12.5156,13.60668,1.09108
FAST,SIFT,16,9.51617,10.65071,1.13454
AKAZE,FREAK,1,12.5156,11.378203,1.137397
SIFT,BRISK,17,9.546581,8.401462,1.145119
BRISK,SIFT,17,9.546581,10.693548,1.146967
BRISK,BRIEF,5,15.908233,17.067239,1.159006
BRISK,SIFT,11,12.808601,11.640077,1.168524
AKAZE,SIFT,5,15.908233,14.738844,1.169389
SHITOMASI,FREAK,16,9.51617,8.32464,1.19153
SIFT,SIFT,3,14.091013,12.896738,1.194274
AKAZE,SIFT,14,9.59863,10.792927,1.194297
SIFT,BRISK,9,13.024118,11.826859,1.197259
FAST,FREAK,17,9.546581,10.745462,1.198881
FAST,ORB,3,14.091013,12.890959,1.200053
SIFT,SIFT,15,8.573525,9.78012,1.206595
SIFT,FREAK,9,13.024118,14.250919,1.226801
FAST,BRIEF,6,12.678716,11.450246,1.22847
SHITOMASI,SIFT,8,13.124118,11.881825,1.242293
BRISK,ORB,3,14.091013,12.848002,1.243011
AKAZE,BRIEF,9,13.024118,11.78051,1.243608
BRISK,ORB,13,9.96439,11.22343,1.25904
FAST,BRISK,16,9.51617,10.77535,1.259181
SHITOMASI,ORB,8,13.124118,11.835178,1.28894
AKAZE,FREAK,3,14.091013,12.799665,1.291348
SHITOMASI,BRIEF,1,12.5156,13.813048,1.297448
SHITOMASI,SIFT,9,13.024118,11.724535,1.299583
SIFT,BRIEF,1,12.5156,11.214913,1.300687
BRISK,BRIEF,10,11.174641,9.867779,1.306862
AKAZE,FREAK,13,9.96439,11.271966,1.307575
BRISK,FREAK,14,9.59863,10.910467,1.311837
SHITOMASI,FREAK,6,12.678716,13.990913,1.312197
BRISK,SIFT,14,9.59863,10.916356,1.317726
SHITOMASI,FREAK,7,11.984351,13.304143,1.319792
SIFT,BRIEF,18,8.398803,7.060417,1.338386
SHITOMASI,BRISK,3,14.091013,12.750238,1.340775
FAST,ORB,10,11.174641,12.519921,1.345279
BRISK,BRISK,8,13.124118,14.477794,1.353676
AKAZE,FREAK,14,9.59863,10.955942,1.357312
ORB,FREAK,13,9.96439,8.590362,1.374028
FAST,FREAK,13,9.96439,11.342669,1.378279
AKAZE,SIFT,15,8.573525,9.952265,1.37874
FAST,BRIEF,3,14.091013,12.708387,1.382625
BRISK,BRIEF,14,9.59863,10.990994,1.392364
AKAZE,AKAZE,9,13.024118,14.422408,1.39829
AKAZE,FREAK,6,12.678716,14.078483,1.399768
SHITOMASI,SIFT,10,11.174641,12.576644,1.402003
AKAZE,ORB,18,8.398803,9.800992,1.402188
BRISK,BRIEF,18,8.398803,9.804222,1.405419
SHITOMASI,FREAK,9,13.024118,11.595198,1.42892
BRISK,SIFT,1,12.5156,13.945914,1.430314
ORB,BRISK,1,12.5156,11.075757,1.439843
BRISK,BRIEF,9,13.024118,14.46729,1.443172
SHITOMASI,BRISK,8,13.124118,11.680107,1.444011
HARRIS,BRISK,16,9.51617,10.964569,1.448399
SHITOMASI,ORB,18,8.398803,9.872649,1.473846
SIFT,SIFT,6,12.678716,11.201188,1.477528
SIFT,BRIEF,2,12.614245,14.10158,1.487335
FAST,ORB,8,13.124118,11.630902,1.493216
BRISK,SIFT,4,16.689386,15.194243,1.495142
ORB,BRIEF,11,12.808601,14.308175,1.499574
SHITOMASI,ORB,16,9.51617,11.023486,1.507316
SHITOMASI,BRIEF,14,9.59863,11.107073,1.508443
AKAZE,AKAZE,8,13.124118,14.635729,1.511611
SHITOMASI,ORB,2,12.614245,14.139521,1.525276
SIFT,SIFT,12,8.95978,10.493677,1.533897
AKAZE,BRIEF,3,14.091013,12.540016,1.550996
BRISK,BRIEF,1,12.5156,10.963489,1.552111
SHITOMASI,SIFT,11,12.808601,11.243144,1.565458
FAST,BRIEF,10,11.174641,12.756392,1.58175
FAST,SIFT,7,11.984351,13.5893,1.604949
SIFT,SIFT,7,11.984351,13.590137,1.605786
HARRIS,BRIEF,2,12.614245,11.008145,1.6061
HARRIS,ORB,2,12.614245,11.008145,1.6061
SHITOMASI,ORB,11,12.808601,11.198543,1.610058
SHITOMASI,FREAK,14,9.59863,11.222223,1.623593
FAST,BRIEF,14,9.59863,11.229648,1.631019
ORB,SIFT,13,9.96439,11.596593,1.632203
FAST,BRIEF,15,8.573525,10.210745,1.637221
SHITOMASI,BRIEF,12,8.95978,10.6,1.64022
SIFT,BRIEF,4,16.689386,18.334036,1.64465
AKAZE,BRIEF,13,9.96439,11.615872,1.651482
HARRIS,BRISK,11,12.808601,11.155164,1.653437
SHITOMASI,FREAK,3,14.091013,12.424919,1.666093
ORB,BRISK,7,11.984351,13.670179,1.685828
BRISK,ORB,15,8.573525,10.266927,1.693403
AKAZE,FREAK,12,8.95978,10.660028,1.700247
SHITOMASI,ORB,9,13.024118,11.322027,1.702091
HARRIS,BRIEF,6,12.678716,14.389165,1.710449
AKAZE,SIFT,12,8.95978,10.679961,1.720181
HARRIS,ORB,7,11.984351,13.71197,1.727619
AKAZE,FREAK,5,15.908233,14.17868,1.729553
BRISK,BRIEF,15,8.573525,10.303988,1.730463
